Language1;Language2;CollaborationScore
XML;Scheme;0.5740740740740741
XML;ML;0.49814814814814806
XML;Prolog;0.2685185185185185
XML;CLP;0.19444444444444442
XML;LIFE;0.19047619047619047
XML;AKL;0.2364021164021164
XML;Oz;0.27976899092970514
XML;Curry;0.253560405643739
XML;HasKell;0.33888888888888885
XML;Pipes;0.19999999999999998
XML;E;0.15806878306878305
XML;FCP;2.7777777777777776e-2
XML;FrTime;2.3809523809523808e-2
XML;Esterel;0.1875
XML;CLU;0.19999999999999998
XML;OCaml;0.34722222222222215
XML;Erlang;3.333333333333333e-2
XML;Occam;2.7777777777777776e-2
XML;C;0.38888888888888884
XML;DijkstraGCL;4.1666666666666664e-2
XML;SNOBOL;0.20833333333333331
XML;Java;3.333333333333333e-2
Scheme;ML;0.7736111111111109
Scheme;Prolog;0.5046296296296297
Scheme;CLP;0.5376984126984126
Scheme;LIFE;0.5307539682539683
Scheme;AKL;0.37798500881834207
Scheme;Oz;0.36658399470899455
Scheme;Curry;0.4497552910052908
Scheme;HasKell;0.6124999999999999
Scheme;Pipes;0.6027777777777777
Scheme;E;0.4293650793650794
Scheme;FCP;0.48214285714285704
Scheme;FrTime;0.41964285714285704
Scheme;Esterel;0.5254629629629629
Scheme;CLU;0.6027777777777777
Scheme;OCaml;0.5555555555555555
Scheme;Erlang;0.4916666666666667
Scheme;Occam;0.42658730158730157
Scheme;C;0.536111111111111
Scheme;DijkstraGCL;0.41574074074074074
Scheme;SNOBOL;0.5268518518518518
Scheme;Java;0.43611111111111106
ML;Prolog;0.4908333333333335
ML;CLP;0.5126984126984128
ML;LIFE;0.5077380952380951
ML;AKL;0.3738158226253463
ML;Oz;0.36992504409171056
ML;Curry;0.43917548500881826
ML;HasKell;0.6515151515151515
ML;Pipes;0.5472222222222222
ML;E;0.5338744588744587
ML;FCP;0.45714285714285713
ML;FrTime;0.42440476190476195
ML;Esterel;0.5039351851851851
ML;CLU;0.5833333333333334
ML;OCaml;0.5458333333333334
ML;Erlang;0.46388888888888896
ML;Occam;0.4293650793650794
ML;C;0.5111111111111112
ML;DijkstraGCL;0.42129629629629634
ML;SNOBOL;0.5046296296296297
ML;Java;0.4361111111111111
Prolog;CLP;0.5238095238095237
Prolog;LIFE;0.4599867724867725
Prolog;AKL;0.3214506172839505
Prolog;Oz;0.32727072310405636
Prolog;Curry;0.3532275132275132
Prolog;HasKell;0.41111111111111115
Prolog;Pipes;0.3955026455026454
Prolog;E;0.3159391534391534
Prolog;FCP;0.27843915343915343
Prolog;FrTime;0.27391975308641975
Prolog;Esterel;0.3814814814814815
Prolog;CLU;0.4074074074074073
Prolog;OCaml;0.4537037037037037
Prolog;Erlang;0.28439153439153436
Prolog;Occam;0.27843915343915343
Prolog;C;0.47129629629629627
Prolog;DijkstraGCL;0.29259259259259257
Prolog;SNOBOL;0.6944444444444444
Prolog;Java;0.2962962962962963
CLP;LIFE;0.8095238095238094
CLP;AKL;0.3567791005291006
CLP;Oz;0.33715986394557806
CLP;Curry;0.39129188712522045
CLP;HasKell;0.4142857142857143
CLP;Pipes;0.3958333333333333
CLP;E;0.28835978835978837
CLP;FCP;0.2222222222222222
CLP;FrTime;0.21666666666666665
CLP;Esterel;0.3787878787878788
CLP;CLU;0.3958333333333333
CLP;OCaml;0.4779761904761905
CLP;Erlang;0.22916666666666666
CLP;Occam;0.2222222222222222
CLP;C;0.38095238095238093
CLP;DijkstraGCL;0.20833333333333331
CLP;SNOBOL;0.40476190476190477
CLP;Java;0.22916666666666666
LIFE;AKL;0.4378306878306877
LIFE;Oz;0.34104544595616015
LIFE;Curry;0.40093694885361547
LIFE;HasKell;0.4083333333333334
LIFE;Pipes;0.41666666666666663
LIFE;E;0.2915564373897707
LIFE;FCP;0.24074074074074073
LIFE;FrTime;0.23333333333333334
LIFE;Esterel;0.3939393939393939
LIFE;CLU;0.38888888888888884
LIFE;OCaml;0.47268518518518515
LIFE;Erlang;0.25
LIFE;Occam;0.24074074074074073
LIFE;C;0.375
LIFE;DijkstraGCL;0.2037037037037037
LIFE;SNOBOL;0.3958333333333333
LIFE;Java;0.25
AKL;Oz;0.39741831430427904
AKL;Curry;0.40508958633958625
AKL;HasKell;0.3174691358024691
AKL;Pipes;0.3723544973544974
AKL;E;0.35734126984126974
AKL;FCP;0.47330447330447334
AKL;FrTime;0.3981679894179894
AKL;Esterel;0.3603595478595479
AKL;CLU;0.31699735449735456
AKL;OCaml;0.3283553791887125
AKL;Erlang;0.47594997594997596
AKL;Occam;0.4
AKL;C;0.31104497354497357
AKL;DijkstraGCL;0.34490740740740733
AKL;SNOBOL;0.3111441798941799
AKL;Java;0.3636243386243387
Oz;Curry;0.4086281966490299
Oz;HasKell;0.34356261022927687
Oz;Pipes;0.34774187452758876
Oz;E;0.3677767052767052
Oz;FCP;0.379796113847838
Oz;FrTime;0.34856000481000476
Oz;Esterel;0.34016912320483744
Oz;CLU;0.3751505199781061
Oz;OCaml;0.3861432861432861
Oz;Erlang;0.3521352985638699
Oz;Occam;0.378564586754242
Oz;C;0.3415154950869237
Oz;DijkstraGCL;0.32850056689342394
Oz;SNOBOL;0.3222789115646258
Oz;Java;0.3862433862433861
Curry;HasKell;0.3842592592592593
Curry;Pipes;0.38280423280423276
Curry;E;0.3114814814814815
Curry;FCP;0.49486016628873764
Curry;FrTime;0.3754339025172358
Curry;Esterel;0.39746472663139326
Curry;CLU;0.3255511463844797
