Paradigm1;Paradigm2;I;R1;R2;M;TC;NDO;TotalMC
descriptive declarative programming;first-order functional programming;8.333333333333333e-2;0.0;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.5833333333333333
descriptive declarative programming;functional programming;5.555555555555555e-2;0.0;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.5555555555555555
descriptive declarative programming;imperative programming;5.555555555555555e-2;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.38888888888888884
descriptive declarative programming;deterministic logic programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;lazy functional programming;4.1666666666666664e-2;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.375
descriptive declarative programming;continuation programming;4.1666666666666664e-2;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.375
descriptive declarative programming;adt functional programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;event loop programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;stateful functional programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;guarded command programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.0;4.1666666666666664e-2
descriptive declarative programming;imperative search programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;sequential object oriented programming;4.1666666666666664e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.20833333333333331
descriptive declarative programming;relational and logic programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19999999999999998
descriptive declarative programming;monotonic dataflow programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19999999999999998
descriptive declarative programming;declarative concurrent programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19999999999999998
descriptive declarative programming;adt imperative programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19999999999999998
descriptive declarative programming;multi agent programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.0;3.333333333333333e-2
descriptive declarative programming;shared state concurrent programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.0;3.333333333333333e-2
descriptive declarative programming;concurrent object oriented programming;3.333333333333333e-2;0.0;0.0;0.0;0.0;0.0;3.333333333333333e-2
descriptive declarative programming;constraint logic programming;2.7777777777777776e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19444444444444442
descriptive declarative programming;lazy declarative concurrent programming;2.7777777777777776e-2;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.36111111111111105
descriptive declarative programming;nonmonotonic dataflow programming;2.7777777777777776e-2;0.0;0.0;0.0;0.0;0.0;2.7777777777777776e-2
descriptive declarative programming;multi agent dataflow programming;2.7777777777777776e-2;0.0;0.0;0.0;0.0;0.0;2.7777777777777776e-2
descriptive declarative programming;active object programming;2.7777777777777776e-2;0.0;0.0;0.0;0.0;0.0;2.7777777777777776e-2
descriptive declarative programming;concurrent constraint programming;2.3809523809523808e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.19047619047619047
descriptive declarative programming;continuous synchronous programming;2.3809523809523808e-2;0.0;0.0;0.0;0.0;0.0;2.3809523809523808e-2
descriptive declarative programming;lazy concurrent constraint programming;2.0833333333333332e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.1875
descriptive declarative programming;discrete synchronous programming;2.0833333333333332e-2;0.0;0.0;0.0;0.0;0.16666666666666666;0.1875
first-order functional programming;functional programming;0.1111111111111111;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.7777777777777777
first-order functional programming;imperative programming;0.1111111111111111;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.611111111111111
first-order functional programming;deterministic logic programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;lazy functional programming;8.333333333333333e-2;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.7499999999999999
first-order functional programming;continuation programming;8.333333333333333e-2;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.7499999999999999
first-order functional programming;adt functional programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;event loop programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;stateful functional programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;guarded command programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.41666666666666663
first-order functional programming;imperative search programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;sequential object oriented programming;8.333333333333333e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5833333333333333
first-order functional programming;relational and logic programming;6.666666666666667e-2;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.4
first-order functional programming;monotonic dataflow programming;6.666666666666667e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5666666666666667
first-order functional programming;declarative concurrent programming;6.666666666666667e-2;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.5666666666666667
first-order functional programming;adt imperative programming;6.666666666666667e-2;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.4
first-order functional programming;multi agent programming;6.666666666666667e-2;0.0;0.0;0.0;0.16666666666666666;0.0;0.23333333333333334
first-order functional programming;shared state concurrent programming;6.666666666666667e-2;0.0;0.0;0.0;0.16666666666666666;0.0;0.23333333333333334
first-order functional programming;concurrent object oriented programming;6.666666666666667e-2;0.0;0.0;0.0;0.16666666666666666;0.0;0.23333333333333334
first-order functional programming;constraint logic programming;5.555555555555555e-2;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.38888888888888884
